bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b3408	feoA	EcoCyc	medium	high	
b3040	zupT	EcoGene	medium	high	
b4082	mdtN	EcoGene	medium	high	
b2923	argO	EcoGene	medium	high	
b1533	eamA	EcoGene	medium	high	
b0574	cusB	EcoGene	medium	high	
b3522	yhjD	EcoCyc	medium	low	
b1018	efeO	EcoGene	medium	high	
b3035	tolC	EcoGene	medium	high	
b3720	bglH	EcoCyc	medium	low	
b1377	ompN	EcoGene	medium	low	
b1256	ompW	EcoGene	medium	high	
b1256	ompW	EcoCyc	medium	high	
b0681	chiP	EcoGene	medium	high	
b1592	clcB	EcoCyc	medium	high	
b3391	hofQ	EcoCyc	medium	low	
b0098	secA	EcoCyc	medium	high	
b1484	ddpD	EcoCyc	medium	low	
b1117	lolD	EcoCyc	medium	high	
b1483	ddpF	EcoCyc	medium	low	
b1291	sapD	EcoCyc	medium	high	
b0830	gsiB	EcoGene	medium	high	
b0158	btuF	EcoGene	medium	high	
b1857	znuA	EcoGene	medium	high	
b4227	ytfQ	EcoGene	medium	high	
b0863	artI	EcoCyc	medium	low	
b1516	lsrB	EcoGene	medium	low	
b3200	lptA	EcoGene	medium	high	
b1487	ddpA	EcoCyc	medium	low	
b0808	ybiO	EcoGene	medium	high	
b0808	ybiO	EcoCyc	medium	high	
b0129	yadI	EcoCyc	medium	low	
b4194	ulaB	EcoGene	medium	high	
b4195	ulaC	EcoGene	medium	high	
b2835	lplT	EcoGene	medium	high	
b2144	sanA	EcoCyc	medium	low	
b2368	emrK	EcoGene	medium	high	
b4002	zraP	EcoGene	medium	high	
b1532	marB	EcoGene	medium	high	
b1532	marB	EcoCyc	medium	low	
b2142	yohK	EcoCyc	medium	low	
b3472	dcrB	EcoCyc	medium	low	
b2063	yegH	EcoCyc	medium	low	
b3819	rarD	EcoCyc	medium	low	
b1798	leuE	EcoGene	medium	high	
b2578	eamB	EcoGene	medium	high	
b1601	tqsA	EcoGene	medium	high	
b1750	ydjX	EcoCyc	medium	low	
b4472	yhdP	EcoGene	medium	low	
b4332	yjiJ	EcoCyc	medium	low	
b2062	wza	EcoCyc	medium	high	
b0845	ybjJ	EcoCyc	medium	low	
b1115	ycfT	EcoCyc	medium	low	
b4210	ytfF	EcoCyc	medium	low	
b1051	msyB	EcoGene	medium	high	
b1051	msyB	EcoCyc	medium	low	
b3661	nlpA	EcoCyc	medium	low	
b1571	ydfA	EcoGene	medium	low	
b1352	kilR	EcoGene	medium	high	
b0245	ykfI	EcoGene	medium	low	
b0548	ninE	EcoGene	medium	low	
b1576	ydfD	EcoGene	medium	low	
