locus_id	primary_name	yome
b0822	ybiV	no
b0823	ybiW	yes
b0824	ybiY	yes
b0825	fsaA	no
b0826	moeB	no
b0827	moeA	no
b0828	iaaA	no
b0829	gsiA	no
b0830	gsiB	no
b0831	gsiC	no
b0832	gsiD	no
b0833	pdeI, yliE	yes
b0834	dgcI, yliF	yes
b0835	rimO	no
b0836	bssR	yes
b0837	yliI	no
b0838	gstB	no
b0839	dacC	no
b0840	deoR	no
b0841	ybjG	no
b0842	mdfA	no
b0843	ybjH	yes
b0844	ybjI	no
b0845	ybjJ	yes
b0846	rcdA	no
b0847	ybjL	yes
b0848	ybjM	yes
b0849	grxA	no
b0850	ybjC	yes
b0851	nfsA	no
b0852	rimK	no
b0853	ybjN	yes
b0854	potF	no
b0855	potG	no
b0856	potH	no
b0857	potI	no
b0858	ybjO	yes
b0859	rlmC	no
b0860	artJ	no
b0861	artM	no
b0862	artQ	no
b0863	artI	yes
b0864	artP	no
b0865	ybjP	yes
b0866	ybjQ	yes
b0867	amiD	no
b0868	ybjS	yes
b0869	ybjT	yes
b0870	ltaE	no
b0871	poxB	no
b0872	hcr	no
b0873	hcp	no
b0874	lysO, ybjE	no
b0875	aqpZ	no
b0876	ybjD	yes
b0877	ybjX	yes
b0878	macA	no
b0879	macB	no
b0880	cspD	no
b0881	clpS	no
b0882	clpA	no
b0883	serW	no
b0884	infA	no
b0885	aat	no
b0886	cydC	no
b0887	cydD	no
b0888	trxB	no
b0889	lrp	no
b0890	ftsK	no
b0891	lolA	no
b0892	rarA	no
b0893	serS	no
b0894	dmsA	no
b0895	dmsB	no
b0896	dmsC	no
b0897	ycaC	yes
b0898	ycaD	yes
b0899	ycaM	yes
b0900	ycaN	yes
b0901	ycaK	yes
b0902	pflA	no
b0903	pflB	no
b0904	focA	no
b0905	ycaO	no
b0906	ycaP	yes
b0907	serC	no
b0908	aroA	no
b0909	ycaL	yes
b0910	cmk	no
b0911	rpsA	no
b0912	ihfB	no
b0913	ycaI	yes
b0914	msbA	no
b0915	lpxK	no
b0916	ycaQ	yes
b0917	ycaR	yes
b0918	kdsB	no
b0919	ycbJ	yes
b0920	elyC	yes
b0921	cmoM, smtA	no
b0922	mukF	no
b0923	mukE	no
b0924	mukB	no
b0925	ldtD, ycbB	no
b0926	ycbK	yes
b0927	gloC, ycbL	no
b0928	aspC	no
b0929	ompF	no
b0930	asnS	no
b0931	pncB	no
b0932	pepN	no
b0933	ssuB	no
b0934	ssuC	no
b0935	ssuD	no
b0936	ssuA	no
b0937	ssuE	no
b0938	elfA	no
b0939	elfD	yes
b0940	elfC	yes
b0941	elfG	yes
b0942	ycbU	yes
b0943	ycbV	yes
b0944	ycbF	yes
b0945	pyrD	no
b0946	zapC	no
b0947	ycbX	yes
b0948	rlmL	no
b0949	uup	no
b0950	pqiA	yes
b0951	pqiB	yes
b0952	pqiC	yes
b0953	rmf	no
b0954	fabA	no
b0955	ycbZ	yes
b0956	matP	no
b0957	ompA	no
b0958	sulA	no
b0959	sxy	no
b0960	yccS	yes
b0961	yccF	yes
b0962	helD	no
b0963	mgsA	no
b0964	yccT	yes
b0965	yccU	yes
b0966	hspQ	yes
b0967	rlmI	no
b0968	yccX	no
b0969	tusE	no
b0970	yccA	no
b0971	serT	no
b0972	hyaA	no
b0973	hyaB	no
b0974	hyaC	no
b0975	hyaD	yes
b0976	hyaE	yes
b0977	hyaF	yes
b0978	appC, cbdA	no
b0979	appB, cbdB	no
b0980	appA	no
b0981	etk	no
b0982	etp	no
b0983	gfcE	yes
b0984	gfcD	yes
b0985	gfcC	yes
b0986	gfcB	yes
b0987	gfcA	yes
b0988	insB-4, insB4, insB1	no
b0989	cspH	yes
b0990	cspG	yes
b0991	ymcE	yes
b0992	yccM	yes
b0993	torS	no
b0994	torT	no
b0995	torR	no
b0996	torC	no
b0997	torA	no
b0998	torD	no
b0999	cbpM	no
b1000	cbpA	no
b1001	yccE	yes
b1002	agp	no
b1003	yccJ	yes
b1004	wrbA	no
b1005	ycdF	excluded
b1006	rutG	no
b1007	rutF	no
b1008	rutE	yes
b1009	rutD	yes
b1010	rutC	yes
b1011	rutB	no
b1012	rutA	no
b1013	rutR	no
b1014	putA	no
b1015	putP	no
b1018	efeO	no
b1019	efeB	no
b1020	phoH	yes
b1021	pgaD	no
b1022	pgaC	no
b1023	pgaB	no
b1024	pgaA	no
b1025	dgcT, ycdT	no
b1026	insF-4, insF4, insF1	no
b1027	insE-4, insE4, insE1	no
b1028	ymdE, ymdE'	excluded
b1029	ycdU	yes
b1032	serX	no
b1033	ghrA	no
b1034	ycdX	yes
b1035	ycdY	no
b1036	ycdZ	yes
b1037	csgG	no
b1038	csgF	no
b1039	csgE	no
b1040	csgD	no
b1041	csgB	no
b1042	csgA	no
b1043	csgC	yes
b1044	ymdA	yes
b1045	ymdB	no
b1046	clsC	no
b1047	opgC, mdoC	no
b1048	opgG, mdoG	no
b1049	opgH, mdoH	no
b1050	yceK	yes
b1051	msyB	yes
b1052		excluded
b1053	mdtG	no
b1054	lpxL	no
b1055	yceA	yes
b1056	yceI	yes
b1057	yceJ	yes
b1058	yceO	yes
b1059	solA	no
b1060	bssS	yes
b1061	dinI	yes
b1062	pyrC	no
b1063	yceB	yes
b1064	grxB	no
b1065	mdtH	no
b1066	rimJ	no
b1067	yceH	yes
b1068	yceM	yes
b1069	murJ	no
b1070	flgN	yes
b1071	flgM	no
b1072	flgA	yes
b1073	flgB	no
b1074	flgC	no
b1075	flgD	yes
b1076	flgE	no
b1077	flgF	no
b1078	flgG	no
b1079	flgH	no
b1080	flgI	no
b1081	flgJ	yes
b1082	flgK	no
b1083	flgL	no
b1084	rne	no
b1085	yceQ	yes
b1086	rluC	no
b1087	yceF	no
b1088	yceD	yes
b1089	rpmF	no
b1090	plsX	yes
b1091	fabH	no
b1092	fabD	no
b1093	fabG	no
b1094	acpP	no
b1095	fabF	no
b1096	pabC	no
b1097	mltG, yceG	no
b1098	tmk	no
b1099	holB	no
b1100	ycfH	yes
b1101	ptsG	no
b1102	fhuE	no
b1103	hinT	no
b1104	ycfL	yes
b1105	lpoB	no
b1106	thiK	no
b1107	nagZ	no
b1108	ycfP	yes
b1109	ndh	no
b1110	ycfJ	yes
b1111	comR, ycfQ	no
b1112	bhsA	no
b1113	ldtC, ycfS	no
b1114	mfd	no
b1115	ycfT	yes
b1116	lolC	no
b1117	lolD	no
b1118	lolE	no
b1119	nagK	no
b1120	cobB	no
b1121	ycfZ	yes
b1122	ymfA	yes
b1123	potD	no
b1124	potC	no
b1125	potB	no
b1126	potA	no
b1127	pepT	no
b1128	roxA	no
b1129	phoQ	no
b1130	phoP	no
b1131	purB	no
b1132	hflD	no
b1133	mnmA	no
b1134	nudJ	no
b1135	rluE	no
b1136	icd	no
b1137	ymfD	yes
b1138	ymfE	yes
b1139	lit	no
b1140	intE	yes
b1141	xisE	yes
b1142	ymfH	yes
b1143	ymfI	yes
b1144	ymfJ	yes
b1145	ymfK, cohE	yes
b1146	ymfT, croE	yes
b1147	ymfL	yes
b1148	ymfM	yes
b1149	ymfN	yes
b1150	ymfR	yes
b1151	beeE, beeE'	excluded
b1152	jayE, jayE'	excluded
b1153	ymfQ	yes
b1154	ycfK, stfP	yes
b1155	tfaP, ymfS	yes
b1156	tfaE	yes
b1157	stfE, stfE'	excluded
b1158	pinE	no
b1159	mcrA	no
b1160	iraM	no
b1161	ycgX	yes
b1162	bluR	no
b1163	bluF	no
b1164	ycgZ	yes
b1165	ymgA	yes
b1166	ariR	yes
b1167	ymgC	yes
b1168	pdeG, ycgG	yes
b1171	ymgD	yes
b1172	ymgG	yes
b1174	minE	no
b1175	minD	no
b1176	minC	no
b1177	ycgJ	yes
b1178	pliG	no
b1179	ycgL	yes
b1180	ycgM	yes
b1181	ycgN	yes
b1182	hlyE	no
b1183	umuD	no
b1184	umuC	no
b1185	dsbB	no
b1186	nhaB	no
b1187	fadR	no
b1188	ycgB	yes
b1189	dadA	no
b1190	dadX	no
b1191	cvrA	yes
b1192	ldcA	no
b1193	emtA	no
b1194	ycgR	no
b1195	ymgE	yes
b1196	ycgY	yes
b1197	treA	no
b1198	dhaM	no
b1199	dhaL	no
b1200	dhaK	no
b1201	dhaR	no
b1202	ycgV	yes
b1203	ychF	no
b1204	pth	no
b1205	ychH	yes
b1206	dauA	no
b1207	prs	no
b1208	ispE	no
b1209	lolB	no
b1210	hemA	no
b1211	prfA	no
b1212	prmC	no
b1213	ychQ	yes
b1214	ychA	yes
b1215	kdsA	no
b1216	chaA	no
b1217	chaB	yes
b1218	chaC	no
b1219	ychN	yes
b1220	ychO	yes
b1221	narL	no
b1222	narX	no
b1223	narK	no
b1224	narG	no
b1225	narH	no
b1226	narJ	no
b1227	narI	no
b1228	ychS	yes
b1229	tpr	yes
b1230	tyrV	no
b1231	tyrT	no
b1232	purU	no
b1233	ychJ	yes
b1234	rssA	yes
b1235	rssB	no
b1236	galU	no
b1237	hns	no
b1238	tdk	no
b1241	adhE	no
b1242	ychE	yes
b1243	oppA	no
b1244	oppB	no
b1245	oppC	no
b1246	oppD	no
b1247	oppF	no
b1248	yciU	yes
b1249	clsA	no
b1250	kch	no
b1251	yciI	yes
b1252	tonB	no
b1253	yciA	no
b1254	yciB	yes
b1255	yciC	yes
b1256	ompW	yes
b1257	yciE	yes
b1258	yciF	yes
b1259	yciG	yes
b1260	trpA	no
b1261	trpB	no
b1262	trpC	no
b1263	trpD, trpGD	no
b1264	trpE	no
b1265	trpL	no
b1266	yciV	no
b1267	yciO	yes
b1268	yciQ	yes
b1269	rluB	no
b1270	btuR	no
b1271	yciK	yes
b1272	sohB	yes
b1273	yciN	yes
b1274	topA	no
b1275	cysB	no
b1276	acnA	no
b1277	ribA	no
b1278	pgpB	no
b1279	lapA, yciS	no
b1280	lapB, yciM	no
