Gene	Module	kME
b0814	UNCLASSIFIED	NA
b0815	UNCLASSIFIED	NA
b0817	UNCLASSIFIED	NA
b0818	UNCLASSIFIED	NA
b0819	UNCLASSIFIED	NA
b0820	UNCLASSIFIED	NA
b0821	UNCLASSIFIED	NA
b0822	P9_I3_M1	0.87
b0823	UNCLASSIFIED	NA
b0824	UNCLASSIFIED	NA
b0825	UNCLASSIFIED	NA
b0826	P5_I3_M1	0.83
b0827	P5_I3_M1	0.91
b0828	UNCLASSIFIED	NA
b0829	UNCLASSIFIED	NA
b0830	UNCLASSIFIED	NA
b0831	UNCLASSIFIED	NA
b0832	UNCLASSIFIED	NA
b0833	P4_I4_M2	0.9
b0834	P4_I4_M2	0.91
b0835	P1_I7_M9	0.92
b0836	P5_I3_M2	0.85
b0837	P1_I7_M1	0.85
b0838	UNCLASSIFIED	NA
b0839	P1_I7_M1	0.87
