bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b2531	iscR	EcoGene	medium	high	
b4264	idnR	EcoGene	medium	high	
b4124	dcuR	EcoGene	medium	high	
b2369	evgA	EcoGene	medium	high	
b1201	dhaR	EcoGene	medium	high	
b2554	glrR	EcoGene	medium	high	
b3261	fis	EcoGene	medium	high	
b1040	csgD	EcoGene	medium	high	
b2409	yfeR	EcoGene	medium	high	
b3060	ttdR	EcoGene	medium	high	
b0487	cueR	EcoGene	medium	high	
b0959	sxy	EcoGene	medium	low	
b0571	cusR	EcoGene	medium	high	
b3516	gadX	EcoGene	medium	high	
b1914	uvrY	EcoGene	medium	high	
b0357	frmR	EcoGene	medium	high	
b4501	torI	EcoGene	medium	high	
b1823	cspC	EcoGene	medium	high	
b3422	rtcR	EcoGene	medium	high	
b3169	nusA	EcoGene	medium	high	
b3023	ygiV	EcoGene	medium	high	
b3082	higA	EcoGene	medium	high	
b0623	cspE	EcoGene	medium	high	
b2911	ssrS	EcoGene	medium	high	
b1450	mcbR	EcoGene	medium	high	
b1649	nemR	EcoGene	medium	high	
b2427	murR	EcoGene	medium	high	
b0189	rof	EcoGene	medium	high	
b3025	qseB	EcoGene	medium	high	
b4046	zur	EcoGene	medium	high	
b2295	yfbV	EcoGene	medium	low	
b0880	cspD	EcoGene	medium	high	
b1438	hicB	EcoGene	medium	high	
b3495	uspA	EcoGene	medium	high	
b1166	ariR	EcoGene	medium	high	
b1731	cedA	EcoGene	medium	high	
b3021	mqsA	EcoGene	medium	high	
b0923	mukE	EcoGene	medium	high	
b0146	sfsA	EcoGene	medium	high	
b0846	rcdA	EcoGene	medium	high	
b0010	satP	EcoGene	medium	high	
b2216	rcsD	EcoGene	medium	high	
